name,mean_monthly_dropoffs,latitude,longitude
Grove St PATH,4178.00,40.71941,-74.04309
Hoboken Terminal - River St & Hudson Pl,3547.83,40.7360676564825,-74.02912706136703
South Waterfront Walkway - Sinatra Dr & 1 St,3022.25,40.73698221818716,-74.02778059244156
Hoboken Terminal - Hudson St & Hudson Pl,2514.50,40.73593758446329,-74.03030455112457
City Hall - Washington St & 1 St,2162.50,40.73736,-74.03097
Newport Pkwy,1899.17,40.7287448,-74.0321082
Hamilton Park,1818.58,40.727595966,-74.044247311
Newport PATH,1816.17,40.7272235,-74.0337589
Hoboken Ave at Monmouth St,1740.25,40.73520838045357,-74.04696375131607
Sip Ave,1737.00,40.73100888698729,-74.06443700194359
